substrate,fraction,n,historical_cosine_mean,historical_cosine_sd,max_cosine_mean,malignant_rmse_mean,malignant_rmse_sd,historical_states,fit_seconds_mean
realgt,0.5,3,0.9790274433598795,0.014028758120451009,0.9790274433598795,0.16989450510240678,0.031714416555153425,"ABSTAIN,ABSTAIN,ABSTAIN",0.3917879733332181
realgt,0.75,3,0.9826357583562695,0.004470498158472994,0.9826357583562695,0.17333097143854517,0.008821680183848006,"ABSTAIN,ABSTAIN,ABSTAIN",0.6104311163338328
realgt,1.0,1,0.9801955148800638,,0.9801955148800638,0.16824421578367424,,ABSTAIN,0.7563415199983865
