tag,genes_sha256,spot_source_sha256,reference_source_sha256,spot_ids_sha256
realgt_frac100_seed0,1b89e8ffb433761da9621ea8f5732b0684d8d0fbd9a93c787dc7ccc39351c6c2,3df52ddb886e443a1399f712a436589a3acb93ebbc600f32b13e3615adc2ba99,6de8240aa667723f86122c79cdfdb3fcd81a91df6437a33047ec970314019d8f,8b5507b891f3e836ee0324b571de32db9f37c8c296d2f9114971f096af91c824
realgt_frac075_seed101,8b6c91d788a47e73335ff94b17138709402dea4f3aeb574d5252374cca61016b,3df52ddb886e443a1399f712a436589a3acb93ebbc600f32b13e3615adc2ba99,6de8240aa667723f86122c79cdfdb3fcd81a91df6437a33047ec970314019d8f,8b5507b891f3e836ee0324b571de32db9f37c8c296d2f9114971f096af91c824
realgt_frac075_seed102,90ffa2717445a36a84911c290556617a48a0cc03396982075c648273ff3020f6,3df52ddb886e443a1399f712a436589a3acb93ebbc600f32b13e3615adc2ba99,6de8240aa667723f86122c79cdfdb3fcd81a91df6437a33047ec970314019d8f,8b5507b891f3e836ee0324b571de32db9f37c8c296d2f9114971f096af91c824
realgt_frac075_seed103,2a992b1582f318b20c2fc55fb82e59c4fd61377ca4eb21f0ca9a9ee7d53ea3ee,3df52ddb886e443a1399f712a436589a3acb93ebbc600f32b13e3615adc2ba99,6de8240aa667723f86122c79cdfdb3fcd81a91df6437a33047ec970314019d8f,8b5507b891f3e836ee0324b571de32db9f37c8c296d2f9114971f096af91c824
realgt_frac050_seed101,0f8dd45b2bf9a55b9fd2c83cf1f425f116509ded2211ca2e7a168c55c610b282,3df52ddb886e443a1399f712a436589a3acb93ebbc600f32b13e3615adc2ba99,6de8240aa667723f86122c79cdfdb3fcd81a91df6437a33047ec970314019d8f,8b5507b891f3e836ee0324b571de32db9f37c8c296d2f9114971f096af91c824
realgt_frac050_seed102,db8c4549c751603ed73be0aca864ca272659bc0f75efe8fa517e0c3db8746a70,3df52ddb886e443a1399f712a436589a3acb93ebbc600f32b13e3615adc2ba99,6de8240aa667723f86122c79cdfdb3fcd81a91df6437a33047ec970314019d8f,8b5507b891f3e836ee0324b571de32db9f37c8c296d2f9114971f096af91c824
realgt_frac050_seed103,c8c77f928c4ba03807d776f652ccbbc71664e962e66d9c1a7fb56b90c846fd21,3df52ddb886e443a1399f712a436589a3acb93ebbc600f32b13e3615adc2ba99,6de8240aa667723f86122c79cdfdb3fcd81a91df6437a33047ec970314019d8f,8b5507b891f3e836ee0324b571de32db9f37c8c296d2f9114971f096af91c824
