substrate,fraction,n,historical_cosine_mean,historical_cosine_sd,max_cosine_mean,malignant_rmse_mean,malignant_rmse_sd,historical_states,fit_seconds_mean
realgt3,0.5,3,0.5604924002132888,0.012713333613326416,0.8720058390731241,0.1422556709160325,0.04433762043267899,"KEEP,KEEP,KEEP",4.88584778733275
realgt3,0.75,3,0.6120850530800298,0.046906485514769516,0.841250525781743,0.1228614227177045,0.0012844531586841464,"KEEP,KEEP,KEEP",7.477186251668172
realgt3,1.0,1,0.6036660924174724,,0.8246995918444192,0.1219598920033765,,KEEP,10.35394180000003
