tag,genes_sha256,spot_source_sha256,reference_source_sha256,spot_ids_sha256
openst_frac100_seed0,aef71a14539f8f51f9d464a833316a72d78a9f84186e345271d158d8b912274c,5c85ce853b2d76182712b510f15e1ea5a187e4a8bd27b41a98c52a4592ddb281,a2d9eab3b99842e392356de4c7668d72032186e5c4bf5929be64171489d6181b,360e1699978f49132d625ddaf53ff6d07fa505e325898aaab6c634faf2e9dbd3
openst_frac075_seed101,41fb88a08b8c081c2466c84203b55eb776820cc2382f50214ac2128ba86db3de,5c85ce853b2d76182712b510f15e1ea5a187e4a8bd27b41a98c52a4592ddb281,a2d9eab3b99842e392356de4c7668d72032186e5c4bf5929be64171489d6181b,360e1699978f49132d625ddaf53ff6d07fa505e325898aaab6c634faf2e9dbd3
openst_frac075_seed102,eda0bff1886eb21b0c85d992e6fceff7072d8a794627af4265a5762fe8b211e1,5c85ce853b2d76182712b510f15e1ea5a187e4a8bd27b41a98c52a4592ddb281,a2d9eab3b99842e392356de4c7668d72032186e5c4bf5929be64171489d6181b,360e1699978f49132d625ddaf53ff6d07fa505e325898aaab6c634faf2e9dbd3
openst_frac075_seed103,32fc37f1f92387b7082fc12049b4a5c14dcd036e62f7bcc60ce986394f24f3c3,5c85ce853b2d76182712b510f15e1ea5a187e4a8bd27b41a98c52a4592ddb281,a2d9eab3b99842e392356de4c7668d72032186e5c4bf5929be64171489d6181b,360e1699978f49132d625ddaf53ff6d07fa505e325898aaab6c634faf2e9dbd3
openst_frac050_seed101,58087cea5f5fb5a51e53cee8b09a192494316c42f317cb33519cd1e5e3eefb6d,5c85ce853b2d76182712b510f15e1ea5a187e4a8bd27b41a98c52a4592ddb281,a2d9eab3b99842e392356de4c7668d72032186e5c4bf5929be64171489d6181b,360e1699978f49132d625ddaf53ff6d07fa505e325898aaab6c634faf2e9dbd3
openst_frac050_seed102,4ae3d2ff430bf6aa9c68a0b22cc06389fba76577eb9496f98714191112bdb89a,5c85ce853b2d76182712b510f15e1ea5a187e4a8bd27b41a98c52a4592ddb281,a2d9eab3b99842e392356de4c7668d72032186e5c4bf5929be64171489d6181b,360e1699978f49132d625ddaf53ff6d07fa505e325898aaab6c634faf2e9dbd3
openst_frac050_seed103,b6a5b3f1e4a9168ed62ab0a5db49fd5f333b0b5dcc31966170f06346cd03bae7,5c85ce853b2d76182712b510f15e1ea5a187e4a8bd27b41a98c52a4592ddb281,a2d9eab3b99842e392356de4c7668d72032186e5c4bf5929be64171489d6181b,360e1699978f49132d625ddaf53ff6d07fa505e325898aaab6c634faf2e9dbd3
