substrate,fraction,n,historical_cosine_mean,historical_cosine_sd,max_cosine_mean,malignant_rmse_mean,malignant_rmse_sd,historical_states,fit_seconds_mean
openst,0.5,3,0.9662612372365987,0.02057559223222476,0.9664085133155379,0.08458424121565594,0.0009519188676521907,"ABSTAIN,ABSTAIN,ABSTAIN",4.5327408609991835
openst,0.75,3,0.9740151548150834,0.010975784914952307,0.9740151548150834,0.0786028365866106,0.0017849877086717218,"ABSTAIN,ABSTAIN,ABSTAIN",7.032903303332811
openst,1.0,1,0.9726782006904068,,0.9726782006904068,0.07616445989677374,,ABSTAIN,10.064405389999592
