substrate,malignant,neighbor,cosine,c_star,decision
openst,Tumor,Tumor_Keratin_Pearl,0.972678,0.8,ABSTAIN
realgt3,Cancer.cells,Normal.Kerat,0.603666,0.8,KEEP
realgt,Invasive_Tumor,Prolif_Invasive_Tumor,0.980196,0.8,ABSTAIN
