,x,y,Cancer.cells,Fibroblast,MoMacDC
cosmx_bcc_xdonor_spot_0000000844,-130365.83026082903,83705.57685993217,0.0416666666666666,0.7083333333333334,0.1666666666666666
cosmx_bcc_xdonor_spot_0000000845,-130398.99372236748,84067.12814198341,0.0769230769230769,0.4615384615384615,0.1538461538461538
cosmx_bcc_xdonor_spot_0000000846,-130407.78859416235,84495.34352659881,0.3333333333333333,0.5333333333333333,0.0666666666666666
cosmx_bcc_xdonor_spot_0000000847,-130348.39970527346,84819.5213043766,0.5555555555555556,0.4444444444444444,0.0
cosmx_bcc_xdonor_spot_0000000848,-130327.50789240797,85237.2698423883,0.8947368421052632,0.1052631578947368,0.0
cosmx_bcc_xdonor_spot_0000000849,-130356.67748305124,85528.24352659883,0.7777777777777778,0.1666666666666666,0.0555555555555555
cosmx_bcc_xdonor_spot_0000000850,-130325.62192749568,85960.74352659883,0.6666666666666666,0.2777777777777778,0.0555555555555555
cosmx_bcc_xdonor_spot_0000000851,-130334.01081638457,86328.79908215438,0.3333333333333333,0.5555555555555556,0.0
cosmx_bcc_xdonor_spot_0000000852,-130318.51408435842,86704.91999718705,0.6470588235294118,0.1764705882352941,0.1176470588235294
cosmx_bcc_xdonor_spot_0000000853,-130327.12192749565,86957.91019326546,0.3333333333333333,0.5,0.0
cosmx_bcc_xdonor_spot_0000000960,-129997.65983759801,81470.37939642629,0.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000962,-129973.59317093133,82200.94606309295,0.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000963,-129965.61698045516,82610.20796785488,0.0714285714285714,0.1428571428571428,0.0714285714285714
cosmx_bcc_xdonor_spot_0000000964,-129931.80141467518,82958.82044967577,0.1153846153846153,0.4230769230769231,0.0769230769230769
cosmx_bcc_xdonor_spot_0000000965,-129969.35526082902,83317.94352659883,0.0,0.6,0.1
cosmx_bcc_xdonor_spot_0000000966,-129978.89970527346,83722.63241548772,0.5,0.5,0.0
cosmx_bcc_xdonor_spot_0000000967,-129985.66578714481,84086.42773712515,0.9473684210526316,0.0526315789473684,0.0
cosmx_bcc_xdonor_spot_0000000968,-129952.67748305124,84465.46574882105,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000969,-129952.70526082901,84793.4935265988,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000970,-129957.59162446539,85181.51625387157,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000971,-129958.95526082901,85577.68797104327,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000972,-129967.37192749568,85961.57685993213,0.9166666666666666,0.0,0.0
