spot,condition,Cancer.cells,Fibroblast,MoMacDC
cosmx_bcc_xdonor_spot_0000001806,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001807,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001808,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001809,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001810,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001811,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001812,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001813,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001814,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001815,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001816,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001817,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001818,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001819,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001820,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001821,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001822,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001823,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001824,Baseline,0.75,0.15,0.0
cosmx_bcc_xdonor_spot_0000001825,Baseline,0.6818181818181818,0.0454545454545454,0.0
cosmx_bcc_xdonor_spot_0000001826,Baseline,0.6875,0.0,0.0
cosmx_bcc_xdonor_spot_0000001827,Baseline,0.6363636363636364,0.2727272727272727,0.0
cosmx_bcc_xdonor_spot_0000001828,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001829,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002105,Baseline,0.9375,0.0,0.0625
cosmx_bcc_xdonor_spot_0000002106,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002107,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002108,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002109,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002110,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002111,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002112,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002113,Baseline,0.9583333333333334,0.0416666666666666,0.0
cosmx_bcc_xdonor_spot_0000002114,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002115,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002116,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002117,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002118,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002119,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002120,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002122,Baseline,0.875,0.0625,0.0625
cosmx_bcc_xdonor_spot_0000002123,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002124,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002125,Baseline,0.9444444444444444,0.0,0.0
cosmx_bcc_xdonor_spot_0000002126,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002127,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002128,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002404,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002405,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002406,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002407,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002408,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002409,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002410,Baseline,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000002411,Baseline,0.7333333333333333,0.0666666666666666,0.0
cosmx_bcc_xdonor_spot_0000002412,Baseline,0.4193548387096774,0.032258064516129,0.0
