,x,y,Cancer.cells,Fibroblast,MoMacDC
cosmx_bcc_xdonor_spot_0000000476,-439531.01307274506,79165.93757310059,0.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000516,-439177.82899527816,31432.80787016912,0.0,0.5555555555555556,0.2222222222222222
cosmx_bcc_xdonor_spot_0000000517,-439156.37066194456,31851.085647946897,0.0,0.625,0.375
cosmx_bcc_xdonor_spot_0000000518,-439141.49566194473,32237.80787016912,0.3333333333333333,0.6666666666666666,0.0
cosmx_bcc_xdonor_spot_0000000519,-439199.92423337314,32516.87136223261,0.5714285714285714,0.1428571428571428,0.0
cosmx_bcc_xdonor_spot_0000000520,-439120.3744850609,32999.7641260504,0.8,0.0,0.1
cosmx_bcc_xdonor_spot_0000000521,-439154.41134753067,33361.90271929588,0.1764705882352941,0.4705882352941176,0.1176470588235294
cosmx_bcc_xdonor_spot_0000000522,-439133.76036713854,33741.683111452745,0.0,0.4666666666666667,0.0666666666666666
cosmx_bcc_xdonor_spot_0000000523,-439143.793700472,34111.549778119406,0.0,0.8333333333333334,0.0833333333333333
cosmx_bcc_xdonor_spot_0000000524,-439157.93655761477,34531.19263526227,0.5714285714285714,0.2142857142857142,0.2142857142857142
cosmx_bcc_xdonor_spot_0000000525,-439176.8321620104,34863.39593196556,0.8461538461538461,0.0,0.0769230769230769
cosmx_bcc_xdonor_spot_0000000526,-439163.1398543181,35275.78054735018,0.9230769230769232,0.0,0.0
cosmx_bcc_xdonor_spot_0000000527,-439169.5937004718,35629.449778119415,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000528,-439177.17370047176,36010.86977811942,0.96,0.0,0.0
cosmx_bcc_xdonor_spot_0000000529,-439186.5714782496,36376.27200034164,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000530,-439151.810941851,36757.30839880907,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000531,-439182.92527941917,37087.60240969836,0.9473684210526316,0.0,0.0
cosmx_bcc_xdonor_spot_0000000546,-439184.36388677434,42879.0639058216,0.0,0.0,0.1666666666666666
cosmx_bcc_xdonor_spot_0000000547,-439217.73055344104,43299.513905821594,0.0,0.6,0.0
cosmx_bcc_xdonor_spot_0000000548,-439232.93055344105,43690.7139058216,0.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000549,-439139.36388677434,43968.5639058216,0.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000550,-439097.530553441,44358.3139058216,0.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000551,-439073.36388677434,44720.8139058216,0.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000615,-439196.967242244,69101.0292333926,0.2,0.0,0.0
cosmx_bcc_xdonor_spot_0000000616,-439166.91724224394,69474.4042333926,0.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000617,-439140.16724224394,69725.19590005928,0.0,0.1666666666666666,0.0
cosmx_bcc_xdonor_spot_0000000618,-439167.66724224394,70213.1542333926,0.0,0.125,0.125
cosmx_bcc_xdonor_spot_0000000619,-439120.9450200217,70525.47367783704,0.0,0.0,0.1111111111111111
cosmx_bcc_xdonor_spot_0000000620,-439118.5958136725,70950.88637624975,0.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000621,-439143.16724224394,71367.6542333926,0.0,0.375,0.0
cosmx_bcc_xdonor_spot_0000000622,-439145.5201834204,71686.91158633376,0.4705882352941176,0.1176470588235294,0.0
cosmx_bcc_xdonor_spot_0000000623,-439143.9854240622,72056.39286975622,0.0909090909090909,0.5454545454545454,0.0
cosmx_bcc_xdonor_spot_0000000624,-439099.3100993868,72366.0292333926,0.5714285714285714,0.2857142857142857,0.0
cosmx_bcc_xdonor_spot_0000000631,-439140.0464060784,75163.42090643388,0.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000000632,-439162.39489092684,75482.70120946421,0.0,0.1818181818181818,0.1818181818181818
cosmx_bcc_xdonor_spot_0000000633,-439160.3380727451,75893.02507310058,0.0,0.4375,0.125
cosmx_bcc_xdonor_spot_0000000634,-439137.1542492157,76264.92580839468,0.2352941176470588,0.0,0.0
cosmx_bcc_xdonor_spot_0000000635,-439129.4511679831,76655.81376357676,0.4761904761904761,0.0,0.0
cosmx_bcc_xdonor_spot_0000000636,-439098.560898832,77019.68539918754,0.6956521739130435,0.0,0.0
cosmx_bcc_xdonor_spot_0000000637,-439160.7130727451,77397.46257310058,0.0,0.5,0.0
cosmx_bcc_xdonor_spot_0000000638,-439159.99878703075,77797.90900167199,0.0,0.4285714285714285,0.0714285714285714
cosmx_bcc_xdonor_spot_0000000639,-439172.2130727451,78136.19471595772,0.0,0.6428571428571429,0.2142857142857142
cosmx_bcc_xdonor_spot_0000000640,-439159.1297394117,78549.00423976725,0.0,0.5,0.0833333333333333
cosmx_bcc_xdonor_spot_0000000641,-439130.67973941175,78941.60423976724,0.4666666666666667,0.2,0.0666666666666666
cosmx_bcc_xdonor_spot_0000000642,-439093.9630727451,79172.58757310058,0.5,0.5,0.0
cosmx_bcc_xdonor_spot_0000000675,-438702.2734397223,28879.80787016912,0.0,0.3333333333333333,0.5555555555555556
cosmx_bcc_xdonor_spot_0000000676,-438705.1623286114,29198.168981280236,0.0,0.3333333333333333,0.5
cosmx_bcc_xdonor_spot_0000000677,-438721.7099476589,29557.94279080405,0.0714285714285714,0.1428571428571428,0.5714285714285714
cosmx_bcc_xdonor_spot_0000000678,-438817.89566194423,29877.5856479469,0.2,0.0,0.2
cosmx_bcc_xdonor_spot_0000000679,-438777.0956619444,30288.1856479469,0.0,0.0,0.4
cosmx_bcc_xdonor_spot_0000000680,-438844.3528048018,30703.299933661183,0.0,0.0,0.2857142857142857
cosmx_bcc_xdonor_spot_0000000681,-438714.34181579086,31119.047186408443,0.4615384615384615,0.0769230769230769,0.1538461538461538
cosmx_bcc_xdonor_spot_0000000682,-438748.5670905161,31457.728505089763,0.3571428571428571,0.5,0.1428571428571428
cosmx_bcc_xdonor_spot_0000000683,-438787.41873886756,31783.431801793056,0.2307692307692307,0.6923076923076923,0.0769230769230769
cosmx_bcc_xdonor_spot_0000000684,-438799.4956619445,32235.773147946908,0.8125,0.125,0.0
cosmx_bcc_xdonor_spot_0000000685,-438756.40475285373,32587.312920674172,0.9090909090909092,0.0,0.0
cosmx_bcc_xdonor_spot_0000000686,-438787.67326725257,32994.297947538624,0.8947368421052632,0.0,0.0
cosmx_bcc_xdonor_spot_0000000687,-438774.8799073683,33341.13598501597,0.0,0.6896551724137931,0.3103448275862069
cosmx_bcc_xdonor_spot_0000000688,-438795.0714782496,33702.438667008304,0.0,0.5,0.1666666666666666
cosmx_bcc_xdonor_spot_0000000689,-438804.7167773948,34147.51131658096,0.6538461538461539,0.2307692307692307,0.0769230769230769
cosmx_bcc_xdonor_spot_0000000690,-438764.3937004718,34501.59977811942,1.0,0.0,0.0
