,x,y,Cancer.cells,Fibroblast,MoMacDC
cosmx_bcc_xdonor_spot_0000001509,-191986.49847602562,-41431.305277703825,0.7272727272727273,0.2727272727272727,0.0
cosmx_bcc_xdonor_spot_0000001512,-191877.55150632863,-40291.956792855344,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001513,-191952.13483966194,-39978.810959522016,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001514,-191936.5931729953,-39601.12345952202,0.9583333333333334,0.0,0.0416666666666666
cosmx_bcc_xdonor_spot_0000001515,-191972.9681729953,-39271.87345952201,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001516,-191926.68029420738,-38896.62345952202,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001517,-191930.63483966194,-38563.29012618869,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001518,-191948.32233966194,-38227.623459522016,0.9375,0.0625,0.0
cosmx_bcc_xdonor_spot_0000001519,-191929.11588701917,-37807.51227052598,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001520,-191945.53941643095,-37485.55932934951,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001521,-191946.4810830976,-37152.367662682846,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001522,-191953.6762585362,-36781.63301356004,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001523,-191934.93941643095,-36433.73827671793,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001524,-191955.1179878595,-36054.8736150638,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001525,-191895.21941643092,-35710.359329349514,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001526,-191927.61941643094,-35336.439329349516,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001527,-191946.85941643093,-34993.079329349515,0.96,0.0,0.0
cosmx_bcc_xdonor_spot_0000001528,-191942.82176937212,-34694.51227052598,0.5882352941176471,0.2352941176470588,0.0
cosmx_bcc_xdonor_spot_0000001529,-191947.6727497643,-34277.759329349516,0.9333333333333332,0.0,0.0666666666666666
cosmx_bcc_xdonor_spot_0000001530,-191962.93941643095,-33944.47182934951,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001806,-191610.60542789724,-42092.358753639666,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001807,-191577.02372855082,-41752.45679285535,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001808,-191597.13483966194,-41414.748459522016,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001809,-191504.9681729953,-41003.87345952201,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001810,-191571.63483966194,-40667.123459522016,1.0,0.0,0.0
cosmx_bcc_xdonor_spot_0000001811,-191587.35706188416,-40318.734570633125,1.0,0.0,0.0
