substrate,malignant,neighbor,n_spots,n_defined_conditional_truth,n_zero_retained_truth_excluded,zero_retained_truth_fraction,raw_neighbor_rmse,conditional_neighbor_rmse_defined_only,conditional_neighbor_rmse_ci95_lo,conditional_neighbor_rmse_ci95_hi,raw_neighbor_bias,conditional_neighbor_bias_defined_only,conditional_neighbor_bias_ci95_lo,conditional_neighbor_bias_ci95_hi,merged_malignant_neighbor_rmse,merged_malignant_neighbor_rmse_ci95_lo,merged_malignant_neighbor_rmse_ci95_hi,retained_prediction_sum_max_abs_error
openst,Tumor,Tumor_Keratin_Pearl,400,334,66,0.165,0.03795867870884649,0.08529613393573107,0.05979432206285504,0.11113877549065153,0.011125233544414428,0.016171975361920242,0.007475335069636552,0.025939031050153376,0.07074366595480804,0.060017926414263525,0.08276643024344704,7.771561172376096e-16
realgt,Invasive_Tumor,Prolif_Invasive_Tumor,400,397,3,0.0075,0.053443489255938954,0.16816197573680408,0.14087809111369218,0.1952761469399496,0.008902805993100915,0.02144892662803711,0.005733168852059391,0.0378339664548623,0.16548666232611114,0.14513671680653867,0.18495890563087766,1.1102230246251565e-15
realgt3,Cancer.cells,Normal.Kerat,400,291,109,0.2725,0.09374995637819082,0.1438790138006201,0.10989182481240284,0.17845133021088205,-0.003123519223348321,-0.00043921458359956245,-0.017044578695672073,0.01705518175376444,0.1545416912847939,0.13572054633587985,0.17399715306916372,7.771561172376096e-16
