substrate,n_spots,bias,mae,rmse,pcc,bootstrap_rmse_lo,bootstrap_rmse_hi,block_count
cosmx_bcc,5686,-0.0765023265334359,0.09935971833830125,0.15163257368226915,0.9464372843347452,0.13373931210222229,0.1678116429039551,4
openst,400,-0.013540473319541925,0.038178409552936554,0.07566137795235812,0.9844524281993453,0.07198234435220507,0.07916963009171973,4
realgt,400,0.06909210347739596,0.08299505637143204,0.15575386149950277,0.9201633506297794,0.1453617429054656,0.16530043073764206,4
realgt3,400,-0.07560572770190573,0.09969862467102572,0.1542431371076142,0.9444862278514318,0.1398337261465098,0.16840392102223622,4
