library,platform_family,malignant,neighbor,cosine,n_ref_cells,designated,decision,eligible,eligibility_reason
openST,platform,Tumor,Macrophages,0.707483,108,False,KEEP,True,eligible
openST,platform,Tumor,Plasma_IgA,0.608378,1967,False,KEEP,True,eligible
openST,platform,Tumor,Plasma_IgG,0.325334,15773,False,KEEP,True,eligible
openST,platform,Tumor,T_cell,0.687678,5114,False,KEEP,True,eligible
openST,platform,Tumor,Tumor_Keratin_Pearl,0.972678,912,True,ABSTAIN,True,eligible
Xenium,platform,Invasive_Tumor,B_Cells,0.305199,1500,False,KEEP,True,eligible
Xenium,platform,Invasive_Tumor,CD4+_T_Cells,0.206395,1500,False,KEEP,True,eligible
Xenium,platform,Invasive_Tumor,CD8+_T_Cells,0.255542,1500,False,KEEP,True,eligible
Xenium,platform,Invasive_Tumor,DCIS_1,0.902972,1500,False,ABSTAIN,True,eligible
Xenium,platform,Invasive_Tumor,DCIS_2,0.932058,1500,False,ABSTAIN,True,eligible
Xenium,platform,Invasive_Tumor,Endothelial,0.347482,1500,False,KEEP,True,eligible
Xenium,platform,Invasive_Tumor,IRF7+_DCs,0.221665,319,False,KEEP,True,eligible
Xenium,platform,Invasive_Tumor,LAMP3+_DCs,0.206807,204,False,KEEP,True,eligible
Xenium,platform,Invasive_Tumor,Macrophages_1,0.384075,1500,False,KEEP,True,eligible
Xenium,platform,Invasive_Tumor,Macrophages_2,0.282143,1080,False,KEEP,True,eligible
Xenium,platform,Invasive_Tumor,Mast_Cells,0.297887,110,False,KEEP,True,eligible
Xenium,platform,Invasive_Tumor,Myoepi_ACTA2+,0.695255,1500,False,KEEP,True,eligible
Xenium,platform,Invasive_Tumor,Myoepi_KRT15+,0.650929,1500,False,KEEP,True,eligible
Xenium,platform,Invasive_Tumor,Perivascular-Like,0.268239,544,False,KEEP,True,eligible
Xenium,platform,Invasive_Tumor,Prolif_Invasive_Tumor,0.980196,1500,True,ABSTAIN,True,eligible
Xenium,platform,Invasive_Tumor,Stromal,0.366391,1500,False,KEEP,True,eligible
Xenium,platform,Invasive_Tumor,Stromal_&_T_Cell_Hybrid,0.27178,417,False,KEEP,True,eligible
Xenium,platform,Invasive_Tumor,T_Cell_&_Tumor_Hybrid,0.856867,364,False,ABSTAIN,True,eligible
Xenium FLEX,platform,Invasive_Tumor,B_Cells,0.489846,1463,False,KEEP,True,eligible
Xenium FLEX,platform,Invasive_Tumor,CD4+_T_Cells,0.492048,2899,False,KEEP,True,eligible
Xenium FLEX,platform,Invasive_Tumor,CD8+_T_Cells,0.513663,1843,False,KEEP,True,eligible
Xenium FLEX,platform,Invasive_Tumor,DCIS_1,0.862624,1863,False,ABSTAIN,True,eligible
Xenium FLEX,platform,Invasive_Tumor,DCIS_2,0.83239,2159,False,ABSTAIN,True,eligible
Xenium FLEX,platform,Invasive_Tumor,Endothelial,0.624305,1055,False,KEEP,True,eligible
Xenium FLEX,platform,Invasive_Tumor,IRF7+_DCs,0.475764,210,False,KEEP,True,eligible
Xenium FLEX,platform,Invasive_Tumor,LAMP3+_DCs,0.329751,103,False,KEEP,True,eligible
Xenium FLEX,platform,Invasive_Tumor,Macrophages_1,0.505024,2964,False,KEEP,True,eligible
Xenium FLEX,platform,Invasive_Tumor,Macrophages_2,0.323909,760,False,KEEP,True,eligible
Xenium FLEX,platform,Invasive_Tumor,Mast_Cells,0.333628,92,False,KEEP,True,eligible
Xenium FLEX,platform,Invasive_Tumor,Myoepi_ACTA2+,0.747842,1235,False,KEEP,True,eligible
Xenium FLEX,platform,Invasive_Tumor,Myoepi_KRT15+,0.58736,604,False,KEEP,True,eligible
Xenium FLEX,platform,Invasive_Tumor,Perivascular-Like,0.592055,285,False,KEEP,True,eligible
Xenium FLEX,platform,Invasive_Tumor,Prolif_Invasive_Tumor,0.977005,1329,True,ABSTAIN,True,eligible
Xenium FLEX,platform,Invasive_Tumor,Stromal,0.340917,2611,False,KEEP,True,eligible
Xenium FLEX,platform,Invasive_Tumor,Stromal_&_T_Cell_Hybrid,0.451654,426,False,KEEP,True,eligible
Xenium FLEX,platform,Invasive_Tumor,T_Cell_&_Tumor_Hybrid,0.956428,1003,False,ABSTAIN,True,eligible
CosMx BCC,platform,Cancer.cells,Bcell,0.658445,143,False,KEEP,True,eligible
CosMx BCC,platform,Cancer.cells,Endothelial,0.738436,2423,False,KEEP,True,eligible
CosMx BCC,platform,Cancer.cells,Fibroblast,0.493869,11995,False,KEEP,True,eligible
CosMx BCC,platform,Cancer.cells,Melanocyte,0.8247,879,False,ABSTAIN,True,eligible
CosMx BCC,platform,Cancer.cells,MoMacDC,0.46308,4268,False,KEEP,True,eligible
CosMx BCC,platform,Cancer.cells,Neutrophil,0.511271,50,False,KEEP,True,eligible
CosMx BCC,platform,Cancer.cells,Normal.Kerat,0.603666,2479,True,KEEP,True,eligible
CosMx BCC,platform,Cancer.cells,Pericyte,0.688684,979,False,KEEP,True,eligible
CosMx BCC,platform,Cancer.cells,PlasmaCell,0.398572,1940,False,KEEP,True,eligible
CosMx BCC,platform,Cancer.cells,Tcell,0.634926,1004,False,KEEP,True,eligible
