method,n_spots,n_types,overall_RMSE,malignant_RMSE,PCC_type,PCC_spot,JSD
"SPGD (build_v4, full n)",5686,11,0.106347,0.151633,0.658847,0.852694,0.09139
"RCTD (spacexr 2.2.1, full mode)",5686,11,0.083724,0.118696,0.635009,0.894032,0.070958
